Recipe Name,Thumbnail Link,Ingredients,Cook Time (in minutes),Diet,Cuisine,Recipe Source
Cajun Chicken Pasta,https://img.spoonacular.com/recipes/606953-556x370.jpg,"['butter', 'cajun seasoning', 'dried basil', 'fresh mushrooms', 'garlic powder', 'green pepper', 'spring onions', 'black pepper', 'cream', 'lemon pepper', 'grated parmesan cheese', 'pasta', 'red pepper', 'table salt', 'chicken breast halves']",30,[],"['Creole', 'Cajun']",http://spoonacular.com/-1406317922675
Chicken shish kabobs,https://img.spoonacular.com/recipes/630484-556x370.jpg,"['boneless skinless chicken breast', 'garlic', 'green pepper', 'honey', 'ketchup', 'fresh mushrooms', 'mustard', 'paprika', 'bell pepper', 'red onion', 'table salt', 'soy sauce', 'tomato', 'zucchini', None, None]",50,"['gluten free', 'dairy free']",NaN,https://spoonacular.com/-1426597077324
How to Make the Perfect Instant Pot Chicken,https://img.spoonacular.com/recipes/1050444-556x370.jpg,"['avocado oil', 'chicken breast', 'bell pepper', 'pink himalayan salt', 'stock']",18,"['gluten free', 'dairy free', 'paleolithic', 'primal', 'fodmap friendly', 'whole 30']",NaN,https://www.pinkwhen.com/instant-pot-chicken/
Curry-Braised Chicken,https://img.spoonacular.com/recipes/641145-556x370.jpg,"['basmati rice', 'golden brown sugar', 'fish sauce', 'lime juice', 'bell pepper', 'table salt', 'boneless skinless chicken breast', 'unsweetened coconut milk', 'vegetable oil', 'green curry paste']",75,"['gluten free', 'dairy free', 'fodmap friendly']","['Indian', 'Asian']",http://www.foodista.com/recipe/YN6PSSKQ/curry-braised-chicken
Grilled Chicken With Spinach-Chive Pesto,https://img.spoonacular.com/recipes/645673-556x370.jpg,"['baby spinach', 'chives', 'whole garlic cloves', 'lemon juice', 'olive oil', 'grated parmesan cheese', 'bell pepper', 'pine nuts', 'table salt', 'boneless skinless chicken breast']",30,"['gluten free', 'primal', 'ketogenic']",NaN,http://www.foodista.com/recipe/D3K3R425/grilled-chicken-with-spinach-chive-pesto
Polla alla Parmigiana: Chicken Parmesan,https://img.spoonacular.com/recipes/656571-556x370.jpg,"['breadcrumbs', 'egg', 'wheat flour', 'marjoram', 'mozzarella', 'cooking oil', 'panko', 'parmesan', 'bell pepper', 'table salt', 'boneless skinless chicken breast', 'canned tomato sauce']",45,[],"['Mediterranean', 'Italian', 'European']",https://www.foodista.com/recipe/PT5ZVJYJ/polla-alla-parmigiana
Pasta casserole with zucchini and chicken,https://img.spoonacular.com/recipes/686582-556x370.jpg,"['cheese', 'chicken breast', 'garlic', 'olive oil', 'paprika', 'pasta', 'bell pepper', 'table salt', 'single cream', 'sour cream', 'zucchini']",40,[],NaN,https://spoonacular.com/-1446222970949
Jump Up Chocolate Chicken,https://img.spoonacular.com/recipes/648653-556x370.jpg,"['boneless skinless chicken breast', 'canola oil', 'red onion', 'bell pepper', 'garlic', 'chili pepper', 'apple juice', 'corn starch', 'unsweetened baking chocolate', 'cilantro', 'table salt', 'black pepper']",45,"['gluten free', 'dairy free']",NaN,https://www.foodista.com/recipe/Z835TTNS/jump-up-chocolate-chicken
Chicken Orange Skewers,https://img.spoonacular.com/recipes/638218-556x370.jpg,"['boneless skinless chicken breast', 'red onion', 'navel orange', 'zucchini', 'olive oil', 'garlic powder', 'onion powder', 'black pepper', 'table salt', 'chili powder', 'bell pepper', 'navel orange', 'orange zest']",45,"['gluten free', 'dairy free', 'paleolithic', 'primal', 'whole 30']",NaN,https://www.foodista.com/recipe/DFB4VHMG/chicken-orange-skewers
Chipotle Chicken Soup,https://img.spoonacular.com/recipes/638746-556x370.jpg,"['canned black beans', 'whole kernel corn', 'canned tomatoes', 'chicken stock', 'chipotle chiles', 'fire roasted tomatoes', 'onion', 'roasted red peppers', 'table salt', 'boneless skinless chicken breast', 'sweet potato']",240,"['gluten free', 'dairy free']",NaN,https://www.foodista.com/recipe/KNFB8VJ5/chipotle-chicken-soup
